iter	Passed	Remaining
0	3	469
1	5	413
2	8	392
3	11	376
4	13	364
5	16	359
6	19	377
7	23	390
8	26	387
9	29	384
10	32	381
11	35	376
12	37	370
13	40	366
14	43	359
15	45	355
16	48	349
17	50	345
18	53	340
19	56	337
20	58	332
21	61	330
22	65	331
23	67	328
24	70	324
25	73	321
26	76	318
27	78	314
28	81	310
29	83	306
30	86	303
31	88	299
32	91	296
33	94	293
34	97	291
35	100	291
36	103	288
37	107	288
38	110	285
39	112	281
40	115	278
41	117	274
42	120	271
43	122	267
44	125	264
45	127	260
46	129	256
47	132	253
48	134	249
49	137	246
50	139	243
51	141	240
52	144	237
53	147	234
54	149	230
55	151	227
56	153	224
57	156	220
58	158	217
59	161	214
60	163	211
61	166	208
62	168	205
63	170	202
64	173	199
65	175	196
66	177	193
67	180	191
68	183	188
69	185	185
70	188	182
71	190	179
72	192	176
73	195	174
74	198	171
75	200	169
76	203	166
77	205	163
78	208	160
79	211	158
80	214	156
81	217	153
82	220	151
83	222	148
84	225	145
85	229	144
86	234	142
87	237	140
88	241	138
89	244	136
90	248	133
91	251	131
92	254	128
93	257	125
94	259	123
95	262	120
96	264	117
97	267	114
98	270	111
99	272	109
100	275	106
101	278	103
102	281	101
103	284	98
104	286	95
105	289	92
106	292	90
107	294	87
108	297	84
109	300	81
110	303	79
111	305	76
112	308	73
113	310	70
114	313	68
115	315	65
116	318	62
117	321	59
118	323	57
119	326	54
120	328	51
121	331	48
122	334	46
123	337	43
124	339	40
125	342	38
126	344	35
127	347	32
128	350	29
129	353	27
130	355	24
131	359	21
132	362	19
133	364	16
134	367	13
135	370	10
136	372	8
137	375	5
138	377	2
139	380	0
